Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
7/5/2011,$0.06,Quarter,0.50%,N/A,6/8/2011,7/7/2011,7/27/2011,Details,87.69B,"$44,585","$1,232",9.632B,CSCO
1/6/2022,$0.32,Quarter,1.50%,N/A,12/9/2021,1/7/2022,1/19/2022,Details,237.51B,"$22,838","-$1,247","3,089.00",ORCL
4/7/2021,$0.32,Quarter,1.70%,+33.3%,3/10/2021,4/8/2021,4/22/2021,Details,246.44B,"$39,310","$2,457","4,675.00",ORCL
1/8/2020,$0.24,Quarter,1.80%,N/A,12/12/2019,1/9/2020,1/23/2020,Details,227.94B,"$46,554","$4,032","5,028.00",ORCL
10/9/2019,$0.24,Quarter,1.80%,N/A,9/11/2019,10/10/2019,10/24/2019,Details,201.76B,"$35,864","$5,021","2,466.00",ORCL
7/16/2019,$0.24,Quarter,1.60%,N/A,6/19/2019,7/17/2019,7/31/2019,Details,176.52B,"$38,593","$2,442",-278,ORCL
4/10/2019,$0.24,Quarter,1.80%,+26.3%,3/14/2019,4/11/2019,4/25/2019,Details,167.59B,"$42,279","$2,251","4,329.00",ORCL
10/15/2018,$0.19,Quarter,1.60%,N/A,9/17/2018,10/16/2018,10/30/2018,Details,167.52B,"$43,057","$3,116","13,752.00",ORCL
10/15/2018,$0.19,Quarter,1.60%,N/A,9/17/2018,10/16/2018,10/30/2018,Details,145.10B,"$25,858","$2,571","9,627.00",ORCL
1/9/2018,$0.19,Quarter,1.50%,N/A,12/14/2017,1/10/2018,1/24/2018,Details,177.42B,"$27,444","$2,311","6,337.00",ORCL
4/10/2017,$0.19,Quarter,1.70%,+26.7%,3/15/2017,4/12/2017,4/26/2017,Details,182.40B,"$35,704","$2,137","5,517.00",ORCL
7/1/2016,$0.15,Quarter,1.50%,N/A,6/16/2016,7/6/2016,7/27/2016,Details,177.23B,"$37,827","$3,740","11,575.00",ORCL
4/12/2016,$0.15,Quarter,1.50%,N/A,3/15/2016,4/14/2016,4/28/2016,Details,181.34B,"$40,030","$2,745","8,394.00",ORCL
1/4/2016,$0.15,Quarter,1.70%,N/A,12/16/2015,1/6/2016,1/27/2016,Details,167.24B,"$49,391","$2,333","5,778.00",ORCL
7/6/2015,$0.15,Quarter,1.50%,N/A,6/17/2015,7/8/2015,7/29/2015,Details,185.46B,"$60,094","$2,265","5,614.00",ORCL
4/2/2015,$0.15,Quarter,1.40%,+25%,3/17/2015,4/7/2015,4/28/2015,Details,184.25B,"$67,261","$3,276","12,891.00",ORCL
1/5/2015,$0.12,Quarter,1.10%,N/A,12/17/2014,1/7/2015,1/28/2015,Details,213.79B,"$70,455","-$4,047","8,882.00",ORCL
10/6/2014,$0.12,Quarter,1.20%,N/A,9/18/2014,10/8/2014,10/29/2014,Details,208.93B,"$71,580","$2,214","6,464.00",ORCL
7/7/2014,$0.12,Quarter,1.20%,N/A,6/19/2014,7/9/2014,7/30/2014,Details,219.04B,"$66,897","$2,144","6,339.00",ORCL
4/4/2014,$0.12,Quarter,1.50%,N/A,3/18/2014,4/8/2014,4/25/2014,Details,186.52B,"$66,078","$3,349","13,650.00",ORCL
1/3/2014,$0.12,Quarter,1.50%,N/A,12/18/2013,1/7/2014,1/28/2014,Details,175.20B,"$59,352","$2,239","9,368.00",ORCL
10/4/2013,$0.12,Quarter,1.50%,N/A,9/18/2013,10/8/2013,10/29/2013,Details,166.19B,"$58,206","$2,032","6,344.00",ORCL
7/10/2013,$0.12,Quarter,1.50%,+100%,6/20/2013,7/12/2013,8/2/2013,Details,167.01B,"$68,396","$1,832","6,093.00",ORCL
12/12/2012,$0.18,Special,0.60%,N/A,12/3/2012,12/14/2012,12/21/2012,Details,158.48B,"$56,125","$2,815","12,105.00",ORCL
7/11/2012,$0.06,Quarter,1%,N/A,6/18/2012,7/13/2012,8/3/2012,Details,161.64B,"$50,767","$2,142","8,164.00",ORCL
4/9/2012,$0.06,Quarter,0.80%,N/A,3/20/2012,4/11/2012,5/2/2012,Details,156.33B,"$52,335","$2,197","5,905.00",ORCL
10/10/2011,$0.06,Quarter,0.30%,N/A,9/20/2011,10/12/2011,11/2/2011,Details,161.87B,"$55,930","$1,747","5,576.00",ORCL
